Date,Period
188907,Predict
188908,Predict
188909,Predict
188910,Predict
188911,Predict
188912,Predict
189001,Predict
189002,Predict
189003,Predict
189004,Predict
189005,Predict
189006,Predict
189007,Predict
189008,Predict
189009,Predict
189010,Predict
189011,Predict
189012,Predict
189101,Predict
189102,Predict
189103,Predict
189104,Predict
189105,Predict
189106,Predict
189107,Predict
189108,Predict
189109,Predict
189110,Predict
189111,Predict
189112,Predict
189201,
189202,
189203,
189204,
189205,
189206,
189207,Predict
189208,Predict
189209,Predict
189210,Predict
189211,Predict
189212,Predict
189301,Predict
189302,Predict
189303,Predict
189304,Predict
189305,Predict
189306,Predict
189307,Predict
189308,Predict
189309,Predict
189310,Predict
189311,Predict
189312,Predict
189401,Predict
189402,Predict
189403,Predict
189404,Predict
189405,Predict
189406,Predict
189407,Predict
189408,Predict
189409,Predict
189410,Predict
189411,Predict
189412,Predict
189501,Predict
189502,Predict
189503,Predict
189504,Predict
189505,Predict
189506,Predict
189507,Predict
189508,Predict
189509,Predict
189510,Predict
189511,Predict
189512,Predict
189601,Predict
189602,Predict
189603,Predict
189604,Predict
189605,Predict
189606,Predict
189607,Predict
189608,Predict
189609,Predict
189610,Predict
189611,Predict
189612,Predict
189701,Predict
189702,Predict
189703,Predict
189704,Predict
189705,Predict
189706,Predict
189707,Predict
189708,Predict
189709,Predict
189710,Predict
189711,Predict
189712,Predict
189801,Predict
189802,Predict
189803,Predict
189804,Predict
189805,Predict
189806,Predict
189807,Predict
189808,Predict
189809,Predict
189810,Predict
189811,Predict
189812,Predict
189901,Predict
189902,Predict
189903,Predict
189904,Predict
189905,Predict
189906,Predict
189907,Predict
189908,Predict
189909,Predict
189910,Predict
189911,Predict
189912,Predict
190001,Predict
190002,Predict
190003,Predict
190004,Predict
190005,Predict
190006,Predict
190007,Predict
190008,Predict
190009,Predict
190010,Predict
190011,Predict
190012,Predict
190101,Predict
190102,Predict
190103,Predict
190104,Predict
190105,Predict
190106,Predict
190107,Predict
190108,Predict
190109,Predict
190110,Predict
190111,Predict
190112,Predict
190201,Predict
190202,Predict
190203,Predict
190204,Predict
190205,Predict
190206,Predict
190207,Predict
190208,Predict
190209,Predict
190210,Predict
190211,Predict
190212,Predict
190301,Predict
190302,Predict
190303,Predict
190304,Predict
190305,Predict
190306,Predict
190307,Predict
190308,Predict
190309,Predict
190310,Predict
190311,Predict
190312,Predict
190401,Predict
190402,Predict
190403,Predict
190404,Predict
190405,Predict
190406,Predict
190407,Predict
190408,Predict
190409,Predict
190410,Predict
190411,Predict
190412,Predict
190501,Predict
190502,Predict
190503,Predict
190504,Predict
190505,Predict
190506,Predict
190507,Predict
190508,Predict
190509,Predict
190510,Predict
190511,Predict
190512,Predict
190601,Predict
190602,Predict
190603,Predict
190604,Predict
190605,Predict
190606,Predict
190607,Predict
190608,Predict
190609,Predict
190610,Predict
190611,Predict
190612,Predict
190701,Predict
190702,Predict
190703,Predict
190704,Predict
190705,Predict
190706,Predict
190707,Predict
190708,Predict
190709,Predict
190710,Predict
190711,Predict
190712,Predict
190801,Predict
190802,Predict
190803,Predict
190804,Predict
190805,Predict
190806,Predict
190807,Predict
190808,Predict
190809,Predict
190810,Predict
190811,Predict
190812,Predict
190901,Predict
190902,Predict
190903,Predict
190904,Predict
190905,Predict
190906,Predict
190907,Predict
190908,Predict
190909,Predict
190910,Predict
190911,Predict
190912,Predict
191001,Predict
191002,Predict
191003,Predict
191004,Predict
191005,Predict
191006,Predict
191007,Predict
191008,Predict
191009,Predict
191010,Predict
191011,Predict
191012,Predict
191101,Predict
191102,Predict
191103,Predict
191104,Predict
191105,Predict
191106,Predict
191107,Predict
191108,Predict
191109,Predict
191110,Predict
191111,Predict
191112,Predict
191201,Predict
191202,Predict
191203,Predict
191204,Predict
191205,Predict
191206,Predict
191207,Predict
191208,Predict
191209,Predict
191210,Predict
191211,Predict
191212,Predict
191301,Predict
191302,Predict
191303,Predict
191304,Predict
191305,Predict
